4,764506814865371,2,1957837871402717
7,297960197460299,5,124157844080855
12,267999627433284,7,810115185196693
22,155919153031732,11,474680989785483
27,14831258343935,14,892359278462564
31,296221552982047,17,33391288149278
35,4068738551336,18,555931571920908
39,539880157719864,20,509671209910294
43,64308112639321,21,487782917818024
46,11692384116239,22,46490111459532
49,40544568288365,23,44251606693784
51,094414604613576,25,39476543823156
54,43509578068239,28,07972926821698
56,10916203545591,29,544164674469897
62,70855971933307,32,23111552671615
66,00453289453256,33,45263746157909
69,29305473625382,34,43025241392161
71,78925145145763,36,139091558260134
73,46331770623115,37,60352696451305
75,12248129404824,38,58014840572514
76,7890962153435,39,800676829457615
80,07761805706477,40,778291781800135
83,36613989878606,41,755906734142656
88,2914713278897,42,97842218013599
91,57999316961096,43,956037132478514
93,23915675742802,44,9326585736906
95,70554813871897,45,66586978794747
99,00152131391846,46,887391722810406
102,31239715607435,48,59672762271417
105,60837033127385,49,81824955757709
107,26753391909094,50,79487099878918
109,74137663386009,51,771989195566476
113,05225247601601,53,481325095470226
115,51119252382873,53,970629327206694
119,63674749293673,55,680461982675666
122,94017200161446,57,145890900059
127,87295476419635,58,61231332857278
131,19128193983047,60,565556210996945
134,5096091154646,62,51879909342111
138,65006675152907,64,71644571393091
144,40497997454125,66,4272718805303
147,7158558166972,68,13660778043406
152,65608991275732,69,84693719146824
158,4333571362042,72,28948430562887
161,71442764444723,73,02319227545098
168,28401999441147,74,7345151976156
175,6757428048061,76,69024185786583
182,25278648824863,78,64547176255084
188,82237883821293,80,35679468471547
194,56984072774688,81,82371386879444
201,13943307771123,83,53503679095905
207,7015740941973,85,00245273060327
213,43413331677485,85,98155794964143
220,00372566673914,87,69288087180604
222,4552143810736,87,93827812102208
227,36564314322086,88,67297960197462
240,46757117575837,90,87609053370178
233,9203328262287,89,8964885590984
246,9999068583315,91,36787854326431
258,42031730261726,91,86264708621815
263,30839206432984,91,86562761960943
272,26986246080287,91,8710919308268
277,15793722251544,91,87407246421809
284,49004936508436,91,87854326430502
289,37812412679693,91,8815237976963
295,8657518085008,90,90986991213637
302,3608308236828,90,18212300909684
308,8484585053867,89,21046912353691
313,69927659970824,87,99391474432613
316,9356391070819,87,26418081902575
320,16455028097744,86,29053991120496
323,39346145487286,85,31689900338415
325,0004657083424,84,58617156695335
328,22937688223794,83,61253065913255
333,08019497655937,82,39597627992177
337,938464404359,81,42332888323139
341,1450215778199,79,71796702784937
345,17370921171107,78,25700891055297
349,97981930516323,75,5770126362197
354,01595827253254,74,3599615014437
355,58570585861094,72,40969915241084
357,9775839051198,70,70384054146359
361,2064950790152,69,73019963364278
363,6132757924804,68,51215498773635
366,8272842994195,67,05070011487474
366,79747896550657,66,07507218479309
369,19680834549354,64,61312055636624
373,2105933124283,62,66434847402901
375,6248253593717,61,69021081064301
377,224378279363,60,71557639169178
378,0092520724022,59,74044521717535
382,0081343723805,57,30385916979728
384,4000124188891,55,59800055885002
385,9921140054022,54,37945915737839
388,3988947188674,53,16141451147196
389,99099630538046,51,942873110000335
393,98987860535874,49,50628706262226
397,1889844453415,47,557018224719826
398,7736346983762,46,09456984072776
398,7438293644634,45,118941910646114
401,1208047440157,42,925269334658026
402,68310099661585,40,73110000310473
405,05262504269,38,293520444596254
405,82259616877263,36,83057530503899
408,2219255487597,35,36862367661216
411,4359340556987,33,90716880375052
412,9907789748207,31,469092489676825
414,56797789437746,29,762737123164356
416,97475860784255,28,544692477257954
419,3368313204385,25,863205936229022
420,9363842404297,24,88857151727781
420,87677357260395,22,93731565711451
422,41671582476954,20,011425377999956
424,8160452047564,18,549473749573124
428,0076997112608,16,356297929150273
430,37722375733495,13,91871837064177
433,5614269303611,11,48163556769849
434,3164953894874,9,530876463100412
437,49324722903543,6,849886677636718
439,04064081467914,4,167903381042606
440,61038840075764,2,217641032009709
442,99481511378804,0,26787543854203477
443,80949424074015,0,26837219410725766
